Code,Company,Date,Type,Quantity,Unit Price ($),Trade Value ($),Brokerage+GST ($),GST ($),Total Value ($)
A2M,THE A2 MILK COMPANY FPO NZ (ORDINARY FULLY PAID),28/9/20,Buy,500,15.49,7745,19.95,1.81,7764.95
A2M,THE A2 MILK COMPANY FPO NZ (ORDINARY FULLY PAID),30/9/20,Buy,400,14.245,5698,19.95,1.81,5717.95
A2M,THE A2 MILK COMPANY FPO NZ (ORDINARY FULLY PAID),17/11/20,Sell,-900,14.7412,-13267.04,29.95,2.72,-13237.09
ANZ,ANZ BANKING GRP LTD FPO (ORDINARY FULLY PAID),23/10/20,Buy,1000,19.63,19630,29.95,2.72,19659.95
ANZ,ANZ BANKING GRP LTD FPO (ORDINARY FULLY PAID),20/1/21,Sell,-500,24.497,-12248.51,29.95,2.72,-12218.56
ANZ,ANZ BANKING GRP LTD FPO (ORDINARY FULLY PAID),16/2/21,Sell,-100,25.69,-2569,19.95,1.81,-2549.05
ANZ,ANZ BANKING GRP LTD FPO (ORDINARY FULLY PAID),17/2/21,Sell,-150,25.69,-3853.5,19.95,1.81,-3833.55
APT,AFTERPAY LIMITED FPO (ORDINARY FULLY PAID),17/11/20,Buy,134,98.2549,13166.15,29.95,2.72,13196.1
APT,AFTERPAY LIMITED FPO (ORDINARY FULLY PAID),11/12/20,Sell,-134,101.38,-13584.92,29.95,2.72,-13554.97
APT,AFTERPAY LIMITED FPO (ORDINARY FULLY PAID),9/4/21,Buy,13,122,1586,19.95,1.81,1605.95
AXE,ARCHER MATERIALS FPO (ORDINARY FULLY PAID),20/1/21,Buy,5000,0.65,3250,19.95,1.81,3269.95
AXE,ARCHER MATERIALS FPO (ORDINARY FULLY PAID),21/1/21,Sell,-5000,0.855,-4275,19.95,1.81,-4255.05
CBA,COMMONWEALTH BANK. FPO (ORDINARY FULLY PAID),30/9/20,Buy,100,64.28,6428,19.95,1.81,6447.95
CBA,COMMONWEALTH BANK. FPO (ORDINARY FULLY PAID),30/9/20,Sell,-100,64.22,-6422,19.95,1.81,-6402.05
CBA,COMMONWEALTH BANK. FPO (ORDINARY FULLY PAID),13/10/20,Buy,150,70.22,10533,29.95,2.72,10562.95
CBA,COMMONWEALTH BANK. FPO (ORDINARY FULLY PAID),23/10/20,Buy,300,69.29,20787,29.95,2.72,20816.95
CBA,COMMONWEALTH BANK. FPO (ORDINARY FULLY PAID),20/1/21,Sell,-150,84.5325,-12679.88,29.95,2.72,-12649.93
CBA,COMMONWEALTH BANK. FPO (ORDINARY FULLY PAID),27/1/21,Sell,-100,86.23,-8623,19.95,1.81,-8603.05
CBA,COMMONWEALTH BANK. FPO (ORDINARY FULLY PAID),27/1/21,Sell,-100,86.67,-8667,19.95,1.81,-8647.05
CBA,COMMONWEALTH BANK. FPO (ORDINARY FULLY PAID),3/3/21,Sell,-20,85.16,-1703.2,19.95,1.81,-1683.25
CRO,CIRRALTO LTD FPO (ORDINARY FULLY PAID),19/1/21,Buy,50000,0.068,3400,19.95,1.81,3419.95
CRO,CIRRALTO LTD FPO (ORDINARY FULLY PAID),20/1/21,Buy,50000,0.066,3300,19.95,1.81,3319.95
CRO,CIRRALTO LTD FPO (ORDINARY FULLY PAID),21/1/21,Sell,-50000,0.077,-3850,19.95,1.81,-3830.05
CRO,CIRRALTO LTD FPO (ORDINARY FULLY PAID),1/3/21,Buy,20000,0.1,2000,19.95,1.81,2019.95
CRO,CIRRALTO LTD FPO (ORDINARY FULLY PAID),2/3/21,Buy,30000,0.085,2550,19.95,1.81,2569.95
CRO,CIRRALTO LTD FPO (ORDINARY FULLY PAID),15/4/21,Buy,20000,0.096,1920,19.95,1.81,1939.95
CRW,CASHREWARDS FPO (ORDINARY FULLY PAID),11/12/20,Buy,4000,1.8628,7451.21,19.95,1.81,7471.16
CRW,CASHREWARDS FPO (ORDINARY FULLY PAID),20/1/21,Sell,-4000,1.72,-6880,19.95,1.81,-6860.05
CSL,CSL LIMITED FPO (ORDINARY FULLY PAID),27/10/20,Buy,60,291.4765,17488.59,29.95,2.72,17518.54
CSL,CSL LIMITED FPO (ORDINARY FULLY PAID),21/1/21,Buy,50,269.658,13482.9,29.95,2.72,13512.85
CSL,CSL LIMITED FPO (ORDINARY FULLY PAID),17/2/21,Sell,-10,280.59,-2805.9,19.95,1.81,-2785.95
CXO,CORE LITHIUM FPO (ORDINARY FULLY PAID),22/2/21,Buy,20000,0.2461,4921.77,19.95,1.81,4941.72
CXO,CORE LITHIUM FPO (ORDINARY FULLY PAID),7/4/21,Sell,-20000,0.2275,-4550,19.95,1.81,-4530.05
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),21/1/21,Buy,15000,0.43,6450,19.95,1.81,6469.95
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),21/1/21,Buy,7000,0.37,2590,19.95,1.81,2609.95
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),21/1/21,Buy,5000,0.385,1925,19.95,1.81,1944.95
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),5/2/21,Sell,-10000,0.5735,-5735.34,19.95,1.81,-5715.39
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),8/2/21,Buy,5000,0.6471,3235.62,19.95,1.81,3255.57
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),9/2/21,Sell,-2000,0.935,-1870,19.95,1.81,-1850.05
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),9/2/21,Sell,-5000,0.8776,-4387.89,19.95,1.81,-4367.94
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),16/2/21,Buy,2000,0.985,1970,19.95,1.81,1989.95
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),17/2/21,Buy,1000,0.815,815,10,0.91,825
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),17/2/21,Buy,2000,0.815,1630,19.95,1.81,1649.95
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),19/2/21,Buy,10000,0.68,6800,19.95,1.81,6819.95
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),23/2/21,Buy,3000,0.68,2040,19.95,1.81,2059.95
EGR,ECOGRAF LIMITED FPO (ORDINARY FULLY PAID),15/4/21,Sell,-3000,0.63,-1890,19.95,1.81,-1870.05
FLT,FLIGHT CENTRE TRAVEL FPO (ORDINARY FULLY PAID),13/10/20,Sell,-370,14.16,-5239.2,19.95,1.81,-5219.25
HWK,HAWKSTONE MNG LTD FPO (ORDINARY FULLY PAID),9/2/21,Buy,50000,0.049,2450,19.95,1.81,2469.95
HWK,HAWKSTONE MNG LTD FPO (ORDINARY FULLY PAID),6/4/21,Sell,-50000,0.044,-2200,19.95,1.81,-2180.05
HXG,HEXAGON ENERGY FPO (ORDINARY FULLY PAID),18/1/21,Buy,25000,0.115,2875,19.95,1.81,2894.95
HXG,HEXAGON ENERGY FPO (ORDINARY FULLY PAID),20/1/21,Buy,30000,0.11,3300,19.95,1.81,3319.95
HXG,HEXAGON ENERGY FPO (ORDINARY FULLY PAID),8/2/21,Sell,-55000,0.107,-5885,19.95,1.81,-5865.05
HZR,HAZER GROUP LIMITED FPO (ORDINARY FULLY PAID),20/1/21,Buy,3000,1.3482,4044.57,19.95,1.81,4064.52
HZR,HAZER GROUP LIMITED FPO (ORDINARY FULLY PAID),22/2/21,Sell,-3000,1.32,-3960,19.95,1.81,-3940.05
KTE,K2 ENERGY LTD FPO (ORDINARY FULLY PAID),18/1/21,Buy,50000,0.056,2800,19.95,1.81,2819.95
KTE,K2 ENERGY LTD FPO (ORDINARY FULLY PAID),15/2/21,Buy,20000,0.064,1280,19.95,1.81,1299.95
KTE,K2 ENERGY LTD FPO (ORDINARY FULLY PAID),6/4/21,Sell,-30000,0.042,-1260,19.95,1.81,-1240.05
KTE,K2 ENERGY LTD FPO (ORDINARY FULLY PAID),7/4/21,Sell,-40000,0.0419,-1674.96,19.95,1.81,-1655.01
LLC,LENDLEASE GROUP STAPLED (FULLY PAID ORDINARY/UNITS STAPLED SECURITIES),30/9/20,Buy,500,11.21,5605,19.95,1.81,5624.95
LLC,LENDLEASE GROUP STAPLED (FULLY PAID ORDINARY/UNITS STAPLED SECURITIES),13/10/20,Buy,800,11.99,9592,19.95,1.81,9611.95
LLC,LENDLEASE GROUP STAPLED (FULLY PAID ORDINARY/UNITS STAPLED SECURITIES),15/12/20,Buy,400,13.4182,5367.27,19.95,1.81,5387.22
